Date,ירושלים,תל אביב-יפו,חיפה,פתח תקווה,ראשון לציון,אשדוד,נתניה,באר שבע,בני ברק,חולון,רמת גן,אשקלון,רחובות,בת ים,בית שמש
01/04/2020,88.23924974,66.8603618,29.7156106,45.77734887,49.37554458,43.98572907,44.39853999,46.75865925,370.2034839,44.6858798,63.47213504,89.90735946,44.4677718,62.05802809,76.15137569
03/04/2020,123.7755027,74.85694992,35.21850145,56.91237968,54.76951164,49.3173326,58.88648462,56.92358517,543.2723325,55.99194577,73.93457488,122.2740089,48.11267113,78.14714648,97.67241665
05/04/2020,142.3636966,79.74375378,38.52023596,65.5729592,57.67395544,57.31473789,64.02736819,61.49780183,621.6141486,59.22225034,80.90953477,137.3784453,49.57063086,78.91329497,113.3993312
06/04/2020,155.7034593,85.96332232,38.88709535,68.87222758,61.82316086,62.20204112,65.8967804,62.00604813,677.4262921,73.22023678,82.30452675,148.8865873,56.13144965,95.76856186,122.504387
07/04/2020,160.0771519,87.296087,39.62081413,70.93427033,63.06792249,64.42354258,66.36413346,63.53078702,709.684687,75.37377316,82.30452675,150.325105,56.13144965,95.76856186,125.8153164
09/04/2020,178.2279765,92.18289086,43.28940804,78.3576242,74.68569769,71.08804699,69.63560482,64.54727961,816.1885938,68.91316403,87.88449466,155.3599171,58.31838925,87.34092842,139.8867662
11/04/2020,199.1123591,98.62458684,46.59114255,82.06930113,79.6647442,75.53104993,72.90707619,68.61324998,901.6989421,85.60307094,94.16195857,161.833247,63.42124831,108.7930863,155.6136808
12/04/2020,214.2015988,100.4016064,49.15915828,86.60579516,80.90950583,76.86395081,74.7764884,71.66272776,924.7406527,87.21822322,94.85945456,163.9910236,67.06614763,108.7930863,164.7187365
13/04/2020,228.8534693,101.7343711,49.89287706,89.90506355,83.81394963,79.52975257,75.24384146,73.18746665,966.7277699,81.83438229,98.34693451,163.9910236,70.71104696,104.9623438,174.6515247
14/04/2020,246.8949516,103.9556456,50.99345523,92.37951484,84.22887017,86.63855727,80.85207809,74.20395924,1051.214042,85.06468685,102.5319104,169.0258358,75.81390602,111.8576803,187.0675099
,,,,,,,,,,,,,,,